Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
06/30/2021,24037,26,St. Mary's County,MD,50.3,57090,57089,59.6,53930,62.4,13016,85.7,98.6,61424.0,54.1,61422.0,64.1,57751.0,66.8,13707.0,90.2,Low,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
06/30/2021,45041,26,Florence County,SC,37.6,51965,51898,44.3,50614,47.8,18960,78.8,93.5,58288.0,42.1,58188.0,49.6,56299.0,53.2,20387.0,84.7,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,High VC/High SVI
06/30/2021,39073,26,Hocking County,OH,35.7,10099,10099,41.5,9822,44.4,3887,70.6,97.6,10216.0,36.1,10216.0,42.0,9894.0,44.7,3955.0,71.9,Low-Mod,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI
06/30/2021,51179,26,Stafford County,VA,29.0,44389,44297,34.7,41283,36.5,8495,51.7,51.2,50683.0,33.2,50529.0,39.6,46371.0,40.9,9310.0,56.7,Low,Low VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI
06/30/2021,18069,26,Huntington County,IN,39.9,14581,14581,46.5,14251,49.8,5685,88.9,98.6,14933.0,40.9,14933.0,47.6,14534.0,50.8,5813.0,90.9,Low,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI
06/30/2021,37017,26,Bladen County,NC,24.4,7985,7984,27.9,7837,30.1,3928,52.7,96.3,10065.0,30.8,10062.0,35.2,9848.0,37.8,4881.0,65.4,High,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
06/30/2021,54043,26,Lincoln County,WV,14.8,3019,3018,17.3,2838,17.9,1137,27.9,56.8,3766.0,18.5,3764.0,21.6,3441.0,21.7,1263.0,31.0,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI
06/30/2021,72125,26,San German Municipio,PR,48.8,14739,14738,54.7,14082,56.8,4281,83.3,95.5,16314.0,54.0,16309.0,60.5,15237.0,61.4,4582.0,89.2,Low-Mod,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
06/30/2021,16061,26,Lewis County,ID,34.4,1321,1321,39.8,1319,43.9,724,70.2,97.8,1453.0,37.9,1453.0,43.8,1452.0,48.3,770.0,74.7,Mod-High,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI
06/30/2021,12089,26,Nassau County,FL,40.7,36097,36096,46.7,35436,49.8,16721,82.7,98.7,39556.0,44.6,39552.0,51.2,38699.0,54.4,17937.0,88.7,Low,Mod-High VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI
06/30/2021,30017,26,Custer County,MT,31.7,3611,3611,36.6,3594,39.7,1635,69.3,95.5,3845.0,33.7,3845.0,39.0,3802.0,42.0,1688.0,71.5,Low-Mod,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
06/30/2021,17171,26,Scott County,IL,29.8,1476,1475,34.3,1450,37.1,628,64.6,97.6,1684.0,34.0,1681.0,39.1,1643.0,42.0,659.0,67.8,Low,Low VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI
06/30/2021,42105,26,Potter County,PA,24.9,4111,4111,28.6,4051,30.7,1958,48.4,93.6,4149.0,25.1,,0.0,,0.0,,0.0,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI
06/30/2021,06005,26,Amador County,CA,37.4,14882,14865,41.5,14582,43.2,7054,64.4,97.3,21370.0,53.8,21340.0,59.6,20771.0,61.6,9811.0,89.6,Mod-High,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI,Mod-High VC/Mod-High SVI,Mod-High VC/Mod-High SVI
06/30/2021,51165,26,Rockingham County,VA,11.3,9260,9245,13.1,8828,13.8,3262,20.4,51.2,10175.0,12.4,10142.0,14.4,9664.0,15.1,3481.0,21.8,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI
06/30/2021,01057,26,Fayette County,AL,23.2,3781,3780,26.9,3758,29.2,1861,52.5,91.8,4407.0,27.0,4405.0,31.4,4359.0,33.9,2116.0,59.7,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Mod-High VC/Mod-High SVI
