fips_code,Geographic Area Name,,population,median_age_years
01003,Baldwin County, Alabama,223234,43
01015,Calhoun County, Alabama,113605,39.6
01043,Cullman County, Alabama,83768,41.9
01049,DeKalb County, Alabama,71513,37.7
01051,Elmore County, Alabama,81209,39
01055,Etowah County, Alabama,102268,41.5
01069,Houston County, Alabama,105882,40.4
01073,Jefferson County, Alabama,658573,38.3
01077,Lauderdale County, Alabama,92729,40.4
01081,Lee County, Alabama,164542,33.3
01083,Limestone County, Alabama,98915,40.3
01089,Madison County, Alabama,372909,38.1
01095,Marshall County, Alabama,96774,39.4
01097,Mobile County, Alabama,413210,38.4
01101,Montgomery County, Alabama,226486,36.9
01103,Morgan County, Alabama,119679,42.3
01115,St. Clair County, Alabama,89512,40
01117,Shelby County, Alabama,217702,39.5
01121,Talladega County, Alabama,79978,41.7
01125,Tuscaloosa County, Alabama,209355,33.7
01127,Walker County, Alabama,63521,43.5
02020,Anchorage Municipality, Alaska,288000,34.2
02090,Fairbanks North Star Borough, Alaska,96849,32.8
02170,Matanuska-Susitna Borough, Alaska,108317,36.1
04001,Apache County, Arizona,71887,36.6
04003,Cochise County, Arizona,125922,42.2
04005,Coconino County, Arizona,143476,31.1
04013,Maricopa County, Arizona,4485414,36.9
04015,Mohave County, Arizona,212181,52.7
04017,Navajo County, Arizona,110924,39.4
04019,Pima County, Arizona,1047279,38.9
04021,Pinal County, Arizona,462789,39.9
04025,Yavapai County, Arizona,235099,54.7
04027,Yuma County, Arizona,213787,35.1
05007,Benton County, Arkansas,279141,35.7
05031,Craighead County, Arkansas,110332,35.2
05045,Faulkner County, Arkansas,126007,33.3
05051,Garland County, Arkansas,99386,45.1
05069,Jefferson County, Arkansas,66824,39.6
05085,Lonoke County, Arkansas,73309,37.4
05119,Pulaski County, Arkansas,391911,38
05125,Saline County, Arkansas,122437,40.4
05131,Sebastian County, Arkansas,127827,37.8
05143,Washington County, Arkansas,239187,32.6
05145,White County, Arkansas,78753,37.5
06001,Alameda County, California,1671329,38
06007,Butte County, California,219186,36.9
06013,Contra Costa County, California,1153526,40
06017,El Dorado County, California,192843,45.9
06019,Fresno County, California,999101,32.7
06023,Humboldt County, California,135558,38.4
06025,Imperial County, California,181215,32.3
06029,Kern County, California,900202,31.9
06031,Kings County, California,152940,31.8
06033,Lake County, California,64386,44.5
06037,Los Angeles County, California,10039107,37
06039,Madera County, California,157327,34.7
06041,Marin County, California,258826,47.3
06045,Mendocino County, California,86749,43.4
06047,Merced County, California,277680,31.7
06053,Monterey County, California,434061,35
06055,Napa County, California,137744,41.6
06057,Nevada County, California,99755,50
06059,Orange County, California,3175692,38.6
06061,Placer County, California,398329,42.4
06065,Riverside County, California,2470546,36.2
06067,Sacramento County, California,1552058,36.6
06071,San Bernardino County, California,2180085,33.8
06073,San Diego County, California,3338330,36.4
06075,San Francisco County, California,881549,38.2
06077,San Joaquin County, California,762148,34.7
06079,San Luis Obispo County, California,283111,40
06081,San Mateo County, California,766573,39.9
06083,Santa Barbara County, California,446499,34.1
06085,Santa Clara County, California,1927852,37.4
